category,rank,code,name,index_tag,score,annual_return,annual_return_1y,annual_return_3y,annual_volatility,sharpe,max_drawdown,calmar,avg_turnover,days,years,start_date,end_date
股票-增长,10,sz.159967,华夏创成长ETF,华夏创成长ETF,0.6018709114149834,0.21286129865644865,1.4108626198083067,0.24909024713131434,0.3236005382339663,0.5959857165534381,-0.60752688172043,0.3503734650451279,850786219.9299334,1684,6.68,2019-07-15,2026-06-26
股票-增长,11,sh.513330,华夏恒生互联网科技业ETF(QDII),华夏恒生互联网科技业ETF(QDII),0.5932180954762345,-0.19118793989881133,-0.3245967741935484,-0.0635996917629611,0.34244698920181915,-0.6167025745825697,-0.7268475210477081,-0.26303720431380867,2172957838.733333,1300,5.16,2021-02-08,2026-06-26
股票-增长,12,sh.513130,华泰柏瑞南方东英恒生科技指数ETF(QDII),华泰柏瑞南方东英恒生科技指数ETF(QDII),0.5912780159756231,-0.12418811865623602,-0.25210084033613434,0.016777315005254145,0.34062419072439865,-0.42330557424472415,-0.6233009708737864,-0.1992426202740235,4070750099.1,1228,4.87,2021-06-01,2026-06-26
股票-增长,13,sh.513180,华夏恒生科技ETF(QDII),华夏恒生科技ETF(QDII),0.5897181395276652,-0.11820220895538891,-0.25241379310344825,0.020492232635995533,0.3367465008082618,-0.41040429113197846,-0.6195546950629235,-0.19078575289205743,3822397304.25,1233,4.89,2021-05-25,2026-06-26
股票-增长,14,sh.515050,华夏中证5G通信主题ETF,5G通信,0.5888233166880606,0.24735832183563944,2.743801652892562,0.6658045427844721,0.34095054625698923,0.66683665514432,-0.519489247311828,0.4761567695878803,1035893135.95,1623,6.44,2019-10-16,2026-06-26
股票-增长,15,sz.159755,广发国证新能源车电池ETF,新能源车,0.5888132721343105,0.007597549909152512,0.5724852071005915,0.08336714911321375,0.34217156523298736,-0.03624629089913582,-0.6758053461274847,0.011242216346301738,869935099.9005166,1212,4.81,2021-06-24,2026-06-26
股票-增长,16,sh.513090,易方达中证香港证券投资主题ETF,易方达中证香港证券投资主题ETF,0.5817916586159767,0.09543625881585882,0.027712264150943522,0.1473533625399135,0.2885429433303825,0.26143858499940537,-0.41836734693877553,0.22811593570619912,6109833526.5,1514,6.01,2020-03-26,2026-06-26
股票-增长,17,sh.513120,广发中证香港创新药(QDII-ETF),创新药,0.5796654139389195,0.018219423777855237,-0.17618270799347469,0.03995611364472418,0.3540692861596758,-0.0050288920608091685,-0.4811151079136691,0.03786915745976639,4690789677.1,958,3.8,2022-07-12,2026-06-26
股票-增长,18,sh.515030,华夏中证新能源汽车ETF,新能源,0.5781380702636151,0.10306947835747948,0.4557377049180329,0.0473162063995296,0.337613430845183,0.2460490927435054,-0.6703869047619048,0.1537462585043867,311666161.1666667,1530,6.07,2020-03-04,2026-06-26
股票-增长,19,sz.159206,永赢国证商用卫星ETF,永赢国证商用卫星ETF,0.5760048900382709,0.5215857171040179,0.7326424870466322,,0.38822452347328,1.2919990540951494,-0.2889595638346207,1.8050474266445649,1411471416.2084665,311,1.23,2025-03-14,2026-06-26
股票-增长,20,sz.159259,易方达国证成长100ETF,易方达国证成长100ETF,0.5756910176211264,0.932564029286618,0.932564029286618,,0.35966777399525257,2.537241574772455,-0.16807511737089198,5.548495481509767,361013849.12345004,197,0.78,2025-08-28,2026-06-26
股票-增长,21,sh.512400,南方中证申万有色金属ETF,有色金属,0.5702975681869029,0.07175232356054839,0.6539485359361137,0.2089207060786873,0.32242542872801866,0.16050943551416957,-0.5335276967930029,0.13448659552605519,1227698450.8833334,2136,8.48,2017-09-01,2026-06-26
股票-增长,22,sh.515790,华泰柏瑞中证光伏产业ETF,华泰柏瑞中证光伏产业ETF,0.5701302951530209,-0.005183888871360565,0.5359877488514546,-0.059848403998010835,0.34808336471883694,-0.07235016500056748,-0.6706996317727512,-0.0077290766623187715,442003339.1166667,1335,5.3,2020-12-18,2026-06-26
股票-增长,23,sz.159740,大成恒生科技ETF(QDII),大成恒生科技ETF(QDII),0.5690566104075467,-0.11961999389367606,-0.25314685314685303,0.016777315005254145,0.3372916626340972,-0.4139443969747318,-0.6223091976516634,-0.19221954993606435,1517689920.5183668,1231,4.88,2021-05-27,2026-06-26
股票-增长,24,sz.159792,富国中证港股通互联网ETF,富国中证港股通互联网ETF,0.5676976143561787,-0.13553679091713722,-0.41666666666666663,-0.05732131270515772,0.3636532794361068,-0.42770627878928485,-0.5966228893058162,-0.2271733004994784,2069303786.5577,1146,4.55,2021-09-28,2026-06-26
股票-增长,25,sz.159939,广发中证全指信息技术ETF,信息技术,0.5672752179890259,0.09636513262039759,1.264274061990212,0.3469362570056287,0.3581329006358604,0.21323126829401115,-0.7914092380111797,0.12176397240770685,53507211.55561666,2764,10.97,2015-02-05,2026-06-26
股票-增长,26,sh.516150,嘉实中证稀土产业ETF,嘉实中证稀土产业ETF,0.565384662414525,0.14996443681755767,0.7093220338983051,0.22883088447354472,0.33093482859555906,0.3927191265093145,-0.583912037037037,0.25682710289468746,341193908.48333335,1278,5.07,2021-03-17,2026-06-26
股票-增长,27,sz.159781,易方达中证科创创业50ETF,易方达中证科创创业50ETF,0.5651119585424553,0.0787465680689452,1.5992509363295877,0.34144809730427994,0.30431861036582736,0.19304296900647908,-0.596579476861167,0.13199677683057595,462776475.9051666,1205,4.78,2021-07-05,2026-06-26
股票-增长,28,sz.159870,鹏华中证细分化工产业ETF,鹏华中证细分化工产业ETF,0.5649959687440436,-0.02766893677612392,0.5097001763668432,0.07658886334176596,0.2510194539600033,-0.1899013643130598,-0.596694214876033,-0.0463703788076315,952960314.3068166,1288,5.11,2021-03-03,2026-06-26
股票-增长,29,sh.513010,易方达恒生科技ETF(QDII),易方达恒生科技ETF(QDII),0.5641566496870096,-0.11145074444414949,-0.24729729729729721,0.02383336674449299,0.3380928986847582,-0.38880066678571584,-0.6173320350535539,-0.18053614281410338,1227138666.1666667,1233,4.89,2021-05-25,2026-06-26
股票-增长,30,sz.159326,华夏中证电网设备主题ETF,华夏中证电网设备主题ETF,0.562445116523951,0.5517049156808,0.9641847313854857,,0.29485033906274777,1.8033044064692314,-0.19114027891714527,2.886387520235601,1504767367.481683,431,1.71,2024-09-09,2026-06-26
股票-稳健,1,sh.510050,华夏上证50ETF,上证50,0.6348222532908891,0.08326206175534745,0.09203336209375901,0.05278821842188819,0.23343495819833177,0.2710050895701685,-0.7030042918454936,0.11843748711230741,2805094781.8166666,4999,19.84,2005-11-24,2026-06-26
股票-稳健,2,sh.510500,南方中证500ETF,中证500,0.6282433040255723,0.09004620516279216,0.5163466528282306,0.14179105760589694,0.2618089677665483,0.26754700482701366,-0.6326219512195121,0.14233809779949796,4443120133.233334,3223,12.79,2013-03-15,2026-06-26
股票-稳健,3,sh.510880,华泰柏瑞上证红利ETF,华泰柏瑞上证红利ETF,0.6036910522874923,0.04469090788935781,-0.009403017712661277,0.018865153831211012,0.2378834906406388,0.10379412132747536,-0.75,0.05958787718581041,566702833.35,4721,18.73,2007-01-18,2026-06-26
股票-稳健,4,sz.159901,易方达深证100ETF,深证100,0.5953796578065301,0.10987655267663166,0.5187477247906807,0.12732977148391833,0.2839283972152103,0.31654654327692194,-0.7126055988073546,0.15418985320986175,386095022.8398834,4898,19.44,2006-04-24,2026-06-26
股票-稳健,5,sh.510300,华泰柏瑞沪深300ETF,沪深300,0.5784613572042381,0.060607284049785104,0.23786096256684486,0.08489538154971576,0.2084867953781079,0.19477149128864713,-0.44374769457764657,0.13658050462092056,4905246449.283334,3420,13.57,2012-05-28,2026-06-26
